"Time differences (ps)"	"Counts per bin"
3000	0
3050	0
3100	0
3150	0
3200	0
3250	0
3300	0
3350	0
3400	0
3450	0
3500	0
3550	0
3600	0
3650	0
3700	0
3750	0
3800	0
3850	0
3900	0
3950	0
4000	0
4050	0
4100	0
4150	0
4200	1
4250	63
4300	401
4350	2725
4400	10152
4450	28974
4500	66690
4550	114757
4600	159062
4650	219621
4700	320738
4750	558210
4800	996845
4850	1680149
4900	2447512
4950	3225774
5000	4046036
5050	4598705
5100	4818518
5150	4714369
5200	4439735
5250	4418044
5300	4261723
5350	4037406
5400	3846626
5450	3875296
5500	3657052
5550	3670870
5600	2962540
5650	2229737
5700	1531306
5750	845770
5800	320214
5850	82414
5900	14816
5950	806
6000	13
6050	0
6100	0
6150	0
6200	0
6250	0
6300	0
6350	0
6400	0
6450	0
6500	0
6550	0
6600	0
6650	0
6700	0
6750	0
6800	0
6850	0
6900	0
6950	0
7000	0
7050	0
7100	0
7150	0
7200	0
7250	0
7300	0
7350	0
7400	0
7450	0
7500	0
7550	0
7600	0
7650	0
7700	0
7750	0
7800	0
7850	0
7900	0
7950	0
8000	0
8050	0
8100	0
8150	0
8200	0
8250	0
8300	0
8350	0
8400	0
8450	0
8500	0
8550	0
8600	0
8650	0
8700	0
