"Time differences (ps)"	"Counts per bin"
-50000	16716
-49950	16604
-49900	16668
-49850	16727
-49800	16773
-49750	16675
-49700	16852
-49650	16960
-49600	16649
-49550	16667
-49500	16555
-49450	16838
-49400	16592
-49350	16863
-49300	17084
-49250	16760
-49200	16682
-49150	16775
-49100	16806
-49050	16720
-49000	16774
-48950	16893
-48900	16788
-48850	16668
-48800	16531
-48750	16701
-48700	16980
-48650	16855
-48600	16845
-48550	16825
-48500	16977
-48450	16819
-48400	16811
-48350	16891
-48300	16762
-48250	16533
-48200	16631
-48150	16613
-48100	16710
-48050	16917
-48000	16756
-47950	16599
-47900	16914
-47850	16907
-47800	16348
-47750	16989
-47700	16891
-47650	16738
-47600	16618
-47550	16918
-47500	16906
-47450	16715
-47400	16812
-47350	16863
-47300	16677
-47250	16623
-47200	16871
-47150	16723
-47100	16673
-47050	16690
-47000	16888
-46950	16763
-46900	16752
-46850	16875
-46800	16657
-46750	16589
-46700	16995
-46650	16655
-46600	16439
-46550	16864
-46500	17097
-46450	16748
-46400	16465
-46350	16858
-46300	16813
-46250	16607
-46200	16644
-46150	16696
-46100	16579
-46050	16799
-46000	16887
-45950	16611
-45900	16688
-45850	16780
-45800	16733
-45750	16838
-45700	16776
-45650	16666
-45600	16585
-45550	16821
-45500	16913
-45450	16727
-45400	16830
-45350	16705
-45300	16579
-45250	16774
-45200	17165
-45150	16971
-45100	16560
-45050	16842
-45000	16640
-44950	16531
-44900	16981
-44850	16972
-44800	16650
-44750	16601
-44700	16895
-44650	17074
-44600	16814
-44550	16775
-44500	16920
-44450	16538
-44400	16654
-44350	16862
-44300	16853
-44250	16742
-44200	16868
-44150	16951
-44100	16423
-44050	16586
-44000	16800
-43950	16884
-43900	16695
-43850	17055
-43800	16766
-43750	16544
-43700	16807
-43650	16840
-43600	16571
-43550	16696
-43500	16866
-43450	16725
-43400	16774
-43350	16622
-43300	16686
-43250	16628
-43200	17208
-43150	16757
-43100	16442
-43050	16914
-43000	16802
-42950	16471
-42900	16712
-42850	17060
-42800	16634
-42750	16492
-42700	16943
-42650	16922
-42600	16697
-42550	16443
-42500	16840
-42450	16842
-42400	16667
-42350	16881
-42300	17174
-42250	16870
-42200	16736
-42150	16430
-42100	16778
-42050	16719
-42000	17025
-41950	16636
-41900	16545
-41850	16750
-41800	16628
-41750	16919
-41700	16740
-41650	16888
-41600	16677
-41550	16793
-41500	16970
-41450	16713
-41400	16721
-41350	16710
-41300	16919
-41250	16736
-41200	16839
-41150	16839
-41100	16489
-41050	16711
-41000	16841
-40950	16876
-40900	16473
-40850	16789
-40800	16888
-40750	16584
-40700	16825
-40650	16748
-40600	16737
-40550	16541
-40500	16754
-40450	16923
-40400	16787
-40350	16497
-40300	16919
-40250	16721
-40200	16746
-40150	16851
-40100	16626
-40050	16728
-40000	16559
-39950	16550
-39900	16881
-39850	16959
-39800	16506
-39750	16568
-39700	16742
-39650	16964
-39600	16563
-39550	16484
-39500	16866
-39450	16510
-39400	16923
-39350	16971
-39300	16979
-39250	16416
-39200	16843
-39150	16795
-39100	16670
-39050	16777
-39000	16593
-38950	16845
-38900	16974
-38850	16819
-38800	16610
-38750	16636
-38700	17146
-38650	16726
-38600	16690
-38550	16719
-38500	16810
-38450	17095
-38400	16630
-38350	16802
-38300	16728
-38250	16827
-38200	16816
-38150	16710
-38100	16577
-38050	16707
-38000	17052
-37950	16522
-37900	16541
-37850	17156
-37800	16893
-37750	16626
-37700	16587
-37650	16643
-37600	16867
-37550	16940
-37500	16486
-37450	16980
-37400	16944
-37350	16947
-37300	16581
-37250	16540
-37200	16710
-37150	16906
-37100	16816
-37050	16777
-37000	16765
-36950	16694
-36900	16748
-36850	16556
-36800	16830
-36750	16636
-36700	16813
-36650	16871
-36600	16910
-36550	16726
-36500	16827
-36450	16778
-36400	16595
-36350	16489
-36300	16774
-36250	17064
-36200	16719
-36150	16431
-36100	16597
-36050	16892
-36000	16981
-35950	16383
-35900	16570
-35850	17002
-35800	16758
-35750	16729
-35700	16692
-35650	16597
-35600	16780
-35550	16966
-35500	16899
-35450	16956
-35400	16788
-35350	16534
-35300	16750
-35250	16627
-35200	16745
-35150	16995
-35100	16847
-35050	16568
-35000	16657
-34950	16694
-34900	17326
-34850	16624
-34800	16423
-34750	16666
-34700	16953
-34650	16787
-34600	16994
-34550	16927
-34500	16579
-34450	16750
-34400	16735
-34350	16679
-34300	16800
-34250	16504
-34200	16667
-34150	16929
-34100	17014
-34050	16666
-34000	16417
-33950	16927
-33900	16769
-33850	16736
-33800	16648
-33750	16825
-33700	16821
-33650	16625
-33600	16705
-33550	16929
-33500	16515
-33450	16574
-33400	16524
-33350	16618
-33300	16816
-33250	18022
-33200	19778
-33150	20246
-33100	20017
-33050	20558
-33000	22800
-32950	24391
-32900	24898
-32850	24324
-32800	22823
-32750	21583
-32700	21463
-32650	21482
-32600	20962
-32550	21419
-32500	20057
-32450	20383
-32400	19458
-32350	19883
-32300	19831
-32250	19623
-32200	20099
-32150	20073
-32100	19626
-32050	19686
-32000	19210
-31950	19765
-31900	19108
-31850	19227
-31800	18704
-31750	19340
-31700	19407
-31650	19533
-31600	19272
-31550	19827
-31500	19767
-31450	19541
-31400	20087
-31350	19781
-31300	19634
-31250	19168
-31200	19761
-31150	20191
-31100	20518
-31050	20214
-31000	19496
-30950	18649
-30900	18900
-30850	19411
-30800	18946
-30750	19063
-30700	18674
-30650	18505
-30600	18494
-30550	19145
-30500	20495
-30450	19259
-30400	19914
-30350	20654
-30300	21860
-30250	21604
-30200	21445
-30150	19203
-30100	19738
-30050	20514
-30000	21257
-29950	22670
-29900	20432
-29850	19383
-29800	20552
-29750	21145
-29700	20581
-29650	21177
-29600	18667
-29550	19030
-29500	18662
-29450	18466
-29400	19000
-29350	19380
-29300	19099
-29250	19380
-29200	18946
-29150	18729
-29100	19003
-29050	19021
-29000	18094
-28950	18234
-28900	18479
-28850	18408
-28800	18415
-28750	19065
-28700	19463
-28650	19326
-28600	19406
-28550	18805
-28500	18255
-28450	18386
-28400	18327
-28350	17835
-28300	17776
-28250	18168
-28200	18773
-28150	18667
-28100	17414
-28050	16615
-28000	16698
-27950	17265
-27900	18198
-27850	19000
-27800	19685
-27750	22121
-27700	25752
-27650	30254
-27600	36289
-27550	38603
-27500	36362
-27450	34169
-27400	33228
-27350	35653
-27300	36345
-27250	38366
-27200	38352
-27150	32642
-27100	31016
-27050	33108
-27000	35319
-26950	33293
-26900	32470
-26850	34631
-26800	37584
-26750	37906
-26700	33715
-26650	31945
-26600	33419
-26550	35397
-26500	33948
-26450	32408
-26400	33084
-26350	30590
-26300	31010
-26250	34104
-26200	31481
-26150	28189
-26100	31135
-26050	35916
-26000	33458
-25950	26684
-25900	25809
-25850	30161
-25800	32156
-25750	27531
-25700	26183
-25650	28150
-25600	31270
-25550	31098
-25500	28408
-25450	25420
-25400	24981
-25350	25303
-25300	27265
-25250	27936
-25200	28384
-25150	28553
-25100	28152
-25050	26798
-25000	26682
-24950	27279
-24900	26715
-24850	26868
-24800	28626
-24750	28302
-24700	27883
-24650	27983
-24600	28701
-24550	30202
-24500	29570
-24450	30701
-24400	30901
-24350	33863
-24300	35827
-24250	33810
-24200	31982
-24150	29074
-24100	26573
-24050	26121
-24000	26186
-23950	27783
-23900	30608
-23850	38559
-23800	44204
-23750	43852
-23700	40998
-23650	37180
-23600	36657
-23550	36507
-23500	33334
-23450	25255
-23400	22211
-23350	22141
-23300	21845
-23250	22111
-23200	22248
-23150	21985
-23100	21914
-23050	21852
-23000	21508
-22950	21327
-22900	21339
-22850	21601
-22800	21260
-22750	21002
-22700	20564
-22650	21015
-22600	21272
-22550	21738
-22500	21136
-22450	20315
-22400	20221
-22350	20518
-22300	21166
-22250	21410
-22200	21371
-22150	21277
-22100	21302
-22050	21261
-22000	22142
-21950	23342
-21900	24284
-21850	24675
-21800	23997
-21750	22206
-21700	22421
-21650	27760
-21600	28482
-21550	24218
-21500	23697
-21450	25594
-21400	27131
-21350	28796
-21300	31345
-21250	32901
-21200	29254
-21150	23870
-21100	19987
-21050	18662
-21000	18154
-20950	18066
-20900	18057
-20850	17989
-20800	17952
-20750	18018
-20700	17875
-20650	17902
-20600	17999
-20550	17727
-20500	17753
-20450	18105
-20400	17985
-20350	17981
-20300	18211
-20250	17923
-20200	17587
-20150	17817
-20100	18158
-20050	18334
-20000	17898
-19950	17767
-19900	17797
-19850	17600
-19800	17761
-19750	17714
-19700	17666
-19650	17661
-19600	18038
-19550	17841
-19500	17408
-19450	17688
-19400	18075
-19350	17759
-19300	17391
-19250	17726
-19200	17787
-19150	17812
-19100	17788
-19050	17839
-19000	17812
-18950	17752
-18900	17627
-18850	17731
-18800	17678
-18750	17716
-18700	17587
-18650	17502
-18600	17643
-18550	17612
-18500	17935
-18450	17975
-18400	17710
-18350	17808
-18300	17769
-18250	17725
-18200	17579
